/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.000100, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.000200, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.000400, cache size 0B, 100000 req, miss ratio 1.0000, byte miss ratio 1.0000
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.000600, cache size 1B, 100000 req, miss ratio 0.8612, byte miss ratio 0.8612
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.000800, cache size 1B, 100000 req, miss ratio 0.8612, byte miss ratio 0.8612
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.001000, cache size 2B, 100000 req, miss ratio 0.7697, byte miss ratio 0.7697
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.002000, cache size 4B, 100000 req, miss ratio 0.6536, byte miss ratio 0.6536
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.004000, cache size 8B, 100000 req, miss ratio 0.5265, byte miss ratio 0.5265
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.006000, cache size 12B, 100000 req, miss ratio 0.4556, byte miss ratio 0.4556
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.008000, cache size 16B, 100000 req, miss ratio 0.4076, byte miss ratio 0.4076
/Users/lauras/Documents/VU/Thesis/cache-eviction-thesis/code/data/alpha_1.4_objects_3000_requests_100000.txt, myFIFO, rel cache size 0.010000, cache size 21B, 100000 req, miss ratio 0.3657, byte miss ratio 0.3657
