objects_actual,fifo_miss_ratio,lru_miss_ratio,sieve_miss_ratio,sieve_vs_fifo_percent,sieve_vs_lru_percent
807,0.3253,0.2956,0.2722,16.323393790347367,7.916102841677936
813,0.3231,0.2938,0.2706,16.248839368616526,7.896528250510551
819,0.3258,0.2959,0.2723,16.42111724984653,7.9756674552213624
821,0.3253,0.2955,0.2723,16.29265293575161,7.851099830795262
822,0.3249,0.2951,0.2719,16.312711603570342,7.861741782446628
824,0.3253,0.2956,0.2723,16.29265293575161,7.88227334235453
826,0.3244,0.2949,0.2717,16.245376078914926,7.867073584265852
827,0.3249,0.2953,0.2719,16.312711603570342,7.924144937351857
829,0.3258,0.2961,0.2722,16.451810926949044,8.071597433299555
833,0.3264,0.2968,0.273,16.360294117647058,8.018867924528298
835,0.327,0.2974,0.2736,16.3302752293578,8.002689979825147
836,0.3247,0.2953,0.272,16.23036649214659,7.890281070098201
837,0.324,0.2946,0.2715,16.203703703703702,7.841140529531554
838,0.3253,0.2958,0.2722,16.323393790347367,7.978363759296824
853,0.3236,0.2941,0.2711,16.22373300370828,7.820469228153678
967,0.4055,0.3727,0.3365,17.016029593094945,9.712905822377236
971,0.4052,0.3724,0.3361,17.0533070088845,9.747583243823845
972,0.4072,0.3744,0.3376,17.092337917485263,9.82905982905983
973,0.4085,0.3754,0.3384,17.160342717258263,9.856153436334585
974,0.4074,0.3747,0.3376,17.133038782523315,9.901254336802767
976,0.4065,0.3738,0.3372,17.04797047970479,9.791332263242381
977,0.4045,0.3717,0.3352,17.13226205191595,9.819747107882696
978,0.4067,0.3738,0.337,17.137939513154656,9.844836811128946
979,0.4065,0.3739,0.337,17.097170971709705,9.868948916822678
980,0.4065,0.3736,0.3368,17.146371463714637,9.850107066381158
981,0.4046,0.372,0.3356,17.053880375679682,9.784946236559136
984,0.4069,0.374,0.3376,17.03121159990169,9.732620320855611
998,0.5207,0.4871,0.4323,16.977146149414253,11.250256620817073
999,0.5201,0.4864,0.4318,16.977504326091132,11.225328947368416
1000,0.7551,0.7388,0.691,8.488941862005039,6.469951272333523
1110,0.3084,0.2793,0.2555,17.153047989623865,8.521303258145359
1124,0.3084,0.2793,0.2555,17.153047989623865,8.521303258145359
